# Table 3 from Anav et al. (2015)			
Dataset	Mean_PgC	IAV_PgC	Trend_PGC/yr
MTE	119	0.0181	0.02%
MODIS	112	0.005	0.00%
CARBONES	148	0.078	0.05%
CLM4CN	147	0.417	0.28%
CESM1-BGC	130	0.353	0.27%
NorESM1-ME	131	0.262	0.20%
JULES	149	0.621	0.42%
HadGEM2-ES	140	0.598	0.43%
ORCHIDEE	153	0.508	0.33%
IPSL-CM5A-MR	169	0.454	0.27%
