SITE_ID,SITE_NAME,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
DE-SfN,Schechenfilz Nord,47.8064,11.3275,590,WET,8.6,1127
DE-Spw,Spreewald,51.8923,14.0337,63,WET,,
DE-Tha,Tharandt,50.9636,13.5669,380,ENF,7.7,820
DE-Zrk,Zarnekow,53.8759,12.889,0,WET,8.7,584
DK-Eng,Enghave,55.6905,12.1918,10,GRA,8,613
DK-Fou,Foulum,56.4842,9.5872,51,CRO,8,
DK-NuF,Nuuk Fen,64.1308,-51.3861,50,WET,-1.4,750
DK-Sor,Soroe,55.4859,11.6446,40,DBF,8.2,660
DK-ZaF,Zackenberg Fen,74.4814,-20.5545,38,WET,-9,211
DK-ZaH,Zackenberg Heath,74.4732,-20.5503,38,GRA,-9,211
ES-Amo,Amoladeras,36.8336,-2.2523,58,OSH,,0
ES-LgS,Laguna Seca,37.0979,-2.9658,2267,OSH,,
ES-LJu,Llano de los Juanes,36.9266,-2.7521,1600,OSH,16,400
ES-Ln2,Lanjaron-Salvage logging,36.9695,-3.4758,2249,OSH,,
FI-Hyy,Hyytiala,61.8475,24.295,181,ENF,3.8,709
FI-Jok,Jokioinen,60.8986,23.5135,109,CRO,4.6,627
FI-Let,Lettosuo,60.6418,23.9597,119,ENF,,
FI-Lom,Lompoloj_nkk_,67.9972,24.2092,274,WET,-1.4,484
FI-Sod,Sodankyla,67.3619,26.6378,180,ENF,-1,500
FR-Fon,Fontainebleau-Barbeau,48.4764,2.7801,103,DBF,10.2,720
FR-Gri,Grignon,48.8442,1.9519,125,CRO,12,650
FR-LBr,Le Bray (after 6/28/1998),44.7171,-0.7693,61,ENF,13.6,900
FR-Pue,Puechabon,43.7414,3.5958,270,EBF,13.5,883
GF-Guy,Guyaflux (French Guiana),5.2788,-52.9249,48,EBF,25.7,3041
GH-Ank,Ankasa,5.2685,-2.6942,124,EBF,26,1900
IT-BCi,Borgo Cioffi,40.5238,14.9574,20,CRO,18,600
IT-CA1,Castel d'Asso 1,42.3804,12.0266,200,DBF,14,766
IT-CA2,Castel d'Asso 2,42.3772,12.026,200,CRO,14,766
IT-CA3,Castel d'Asso 3,42.38,12.0222,197,DBF,14,766
IT-Col,Collelongo- Selva Piana,41.8494,13.5881,1560,DBF,6.3,1180
IT-Cp2,Castelporziano 2,41.7043,12.3573,19,EBF,15.2,805
IT-Cpz,Castelporziano,41.7052,12.3761,68,EBF,15.6,780
