site,lat,lon,model,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
CN-Du2,42.0467,116.2836,dlem,155.022005,153.2759964,166.5450003,161.908992,182.8789986,160.8380041,170.2220039,172.3029898,182.5480027,169.9660007,183.2149985,200.408004,201.5699915,191.4370071,199.3030023,186.1070015,193.5430035,204.1839912,189.0639971,209.3939995,236.0129997,220.0820019,220.0539998,234.8429987,223.4089973,221.7829958,229.4390082,247.9859997,235.6619981,219.8229995,224.7249988,228.6579972,243.4749987,252.4209999,246.271004,240.8130079,225.7050023,256.3789964,233.8540061,219.0749942
CN-Ha2,37.6086,101.3269,dlem,49.82200171,53.98217769,49.4719997,45.95099966,57.87400048,40.30928412,41.21400043,48.79900104,48.69100171,52.99717919,50.81799987,51.08100007,50.6509997,48.80324988,50.17699802,46.40499854,47.89899804,54.53528495,47.77999916,51.44800208,57.90099761,49.54317892,46.51000182,56.06099948,51.02699977,52.36321533,60.23199729,56.43000149,65.14899944,55.26325027,64.68099923,53.17399847,56.25300129,52.95332097,56.42800101,50.32300184,60.02100115,47.25310693,48.38500057,55.81700016
CN-HaM,37.37,101.18,dlem,45.4880001,51.32199924,44.36299845,45.59300086,52.29900112,41.09799923,40.79799984,47.74699977,44.34699992,49.06399978,46.48499978,48.53300031,49.91600064,47.40700106,47.20399991,46.0279991,46.03899977,55.68599946,46.37099976,48.85299875,51.26499952,46.37399938,46.33799994,53.74699945,48.08400012,48.23799858,56.63300025,58.01400136,58.2270007,51.91400102,52.19399938,53.05800229,51.17200018,49.40399908,59.96199905,46.17300082,52.75299935,50.16200131,43.85700008,50.09800186
CN-Qia,26.7414,115.0581,dlem,421.9330004,436.3699612,437.7149827,439.044,445.7419877,434.0075154,448.3540017,455.1170032,458.3070033,462.0894163,456.6769942,464.3550039,467.4190098,458.2453284,466.1719983,470.3529906,488.5009986,475.7231318,482.5270052,495.7699991,495.4009987,488.0458952,496.6699998,508.8780055,500.0730019,496.8458551,513.6300135,525.5419953,515.3330003,524.0663205,521.4379983,534.6870054,522.7740019,540.6951665,539.8079877,549.1050005,559.7080049,551.9391659,555.0249843,560.0840031
CN-Sw2,41.7902,111.8971,dlem,170.8960059,171.3529931,187.152994,170.8550017,197.9700017,167.3239951,186.9349987,194.3570071,196.9039989,174.3360036,188.2939982,195.9140064,189.1170044,194.4970074,196.6160018,177.4450048,195.1920108,209.9779988,191.2409961,208.5580097,191.9590032,200.8549995,178.069999,203.7220046,199.722001,200.0239992,194.6200004,233.3390092,225.0449983,224.975,202.4379993,220.9180086,225.0500006,229.8196083,208.7999977,213.3099903,206.4529978,224.0240019,204.5140016,203.7419999
CZ-BK1,49.5021,18.5369,dlem,333.5350122,350.8280836,311.493002,377.4409983,414.3829967,355.3932853,369.9820038,364.6970019,385.2550017,323.3936498,370.0300102,411.4569957,389.423996,374.8397478,335.0320018,346.5170074,339.8870005,373.2422823,404.1709981,408.0670077,378.4590069,392.439173,354.164997,410.2950053,410.7389977,356.0037513,369.7690082,396.8399954,396.1759907,438.1302626,437.6099995,443.6970008,374.4030092,414.6192144,421.2199957,449.2859948,466.2759884,470.5646071,437.4500059,403.3929968
CZ-wet,49.0247,14.7704,dlem,578.4480118,611.6926937,586.6540085,656.3610122,662.4280031,591.8583013,625.3770191,600.1409975,582.1709864,580.0613909,631.5490161,640.9980001,629.0360123,566.0038589,554.0609895,571.7130114,583.4579922,629.6153637,640.6029855,641.4609931,595.8059945,643.3503677,612.7809967,663.8099875,653.2120102,553.7145385,587.6410155,626.5379798,616.5320037,652.9470239,623.3070082,665.1469981,598.3330135,609.4190507,627.4930095,610.8180104,676.659002,677.5019076,655.6090028,604.4779963
DE-Akm,53.8662,13.6834,dlem,350.9509965,333.2504988,358.155002,386.9300011,398.2570119,352.3854189,370.6509951,370.9559997,356.8390082,323.6065317,358.6530049,368.1740027,394.1590025,368.1034055,344.6759988,333.2629991,339.1300021,392.8373243,428.4599947,443.6379984,404.7079977,419.7985393,402.9769996,409.0710052,406.2539948,308.2729904,369.0549961,405.7109962,415.6490098,439.3504728,414.5119965,436.0840022,385.1679969,392.4566416,403.8450044,382.663008,435.1950058,453.0941515,424.1200037,378.4430105
DE-Geb,51.1001,10.9143,dlem,374.6010009,381.4043503,397.5649984,446.11401,464.8520049,406.3725363,438.1019894,426.0910062,396.9770067,398.3687878,430.4289989,438.257006,447.8470099,400.2007207,362.5219839,377.6369949,383.805004,441.3344961,478.5150073,502.0290084,444.5490048,476.4124537,452.7579895,487.1560032,480.0430065,349.478366,424.4210053,465.3059993,490.8550038,515.7753774,483.9110003,492.885,467.9219858,469.7526475,487.0450037,450.5399873,500.8359979,520.4321474,488.7190111,440.8259974
DE-Gri,50.9495,13.5125,dlem,447.4579998,448.4011763,447.8279984,478.7830046,489.6969973,449.6067881,478.8379958,465.0960086,432.5890057,432.8412103,474.5199913,481.1130023,487.908006,465.1485275,413.1749995,459.5659984,458.4380047,488.6019565,528.3160047,517.857999,473.8789888,520.1053267,496.9629915,519.1019968,518.4119957,419.3050689,478.5390011,510.6129996,522.2120145,537.1569322,497.524002,522.3529962,488.3600001,503.7499598,527.3479977,530.9370082,551.5159954,552.7652142,526.3810085,484.6020054
DE-Hai,51.0792,10.453,dlem,335.239008,332.5632151,340.3359974,380.6920047,395.1819987,357.3881162,367.3879964,361.5289998,351.6970045,350.981602,381.2240031,395.0539893,398.4019971,358.6348886,320.2450007,352.9759995,347.6530122,394.9242798,423.6769953,440.6370014,389.6519994,417.1424875,401.8960022,427.20999,424.6740077,316.1250005,376.8669929,409.7200049,438.5309945,449.0924722,422.8289923,431.9260067,417.2900076,410.6696967,430.3999956,408.3249949,437.718007,451.8433889,424.5090027,389.6500042
DE-Kli,50.8929,13.5225,dlem,447.4579998,448.4011763,447.8279984,478.7830046,489.6969973,449.6067881,478.8379958,465.0960086,432.5890057,432.8412103,474.5199913,481.1130023,487.908006,465.1485275,413.1749995,459.5659984,458.4380047,488.6019565,528.3160047,517.857999,473.8789888,520.1053267,496.9629915,519.1019968,518.4119957,419.3050689,478.5390011,510.6129996,522.2120145,537.1569322,497.524002,522.3529962,488.3600001,503.7499598,527.3479977,530.9370082,551.5159954,552.7652142,526.3810085,484.6020054
DE-Lkb,49.0996,13.3047,dlem,588.9119883,574.531059,565.2470006,651.5810024,637.8069967,618.5272847,643.5219916,626.296006,599.8700197,619.6332974,666.9599856,679.5250046,638.1910001,618.7842094,578.2599857,621.1640023,631.8880028,658.8715833,662.732993,644.1920106,598.4880117,661.3426483,666.0750061,685.142988,676.0389996,574.3692397,634.0490017,661.8750045,674.9910101,698.3655084,646.7140126,668.5430058,633.0090052,655.8801385,670.6279842,685.078989,691.2299971,667.4366411,629.1930008,603.1159907
DE-Obe,50.7836,13.7196,dlem,447.4579998,448.4011763,447.8279984,478.7830046,489.6969973,449.6067881,478.8379958,465.0960086,432.5890057,432.8412103,474.5199913,481.1130023,487.908006,465.1485275,413.1749995,459.5659984,458.4380047,488.6019565,528.3160047,517.857999,473.8789888,520.1053267,496.9629915,519.1019968,518.4119957,419.3050689,478.5390011,510.6129996,522.2120145,537.1569322,497.524002,522.3529962,488.3600001,503.7499598,527.3479977,530.9370082,551.5159954,552.7652142,526.3810085,484.6020054
DE-RuR,50.6219,6.3041,dlem,489.8630017,501.7508901,516.1500059,538.07,539.7740052,522.1860002,531.0619958,516.5739923,516.0410037,522.6580233,536.5160021,555.0030245,550.4099866,534.0456733,498.3549977,514.6560222,495.489004,556.4585093,569.2160226,569.8280046,538.674983,584.0191125,551.7459929,591.5219948,575.7049925,494.3227977,559.0460112,575.723008,606.5299931,616.3765366,581.4989831,603.7790024,584.3559906,582.7872445,605.2420098,592.4709873,603.7060019,606.7311034,598.9289968,552.2369871
DE-RuS,50.8659,6.4472,dlem,489.8630017,501.7508901,516.1500059,538.07,539.7740052,522.1860002,531.0619958,516.5739923,516.0410037,522.6580233,536.5160021,555.0030245,550.4099866,534.0456733,498.3549977,514.6560222,495.489004,556.4585093,569.2160226,569.8280046,538.674983,584.0191125,551.7459929,591.5219948,575.7049925,494.3227977,559.0460112,575.723008,606.5299931,616.3765366,581.4989831,603.7790024,584.3559906,582.7872445,605.2420098,592.4709873,603.7060019,606.7311034,598.9289968,552.2369871
DE-Seh,50.8706,6.4497,dlem,489.8630017,501.7508901,516.1500059,538.07,539.7740052,522.1860002,531.0619958,516.5739923,516.0410037,522.6580233,536.5160021,555.0030245,550.4099866,534.0456733,498.3549977,514.6560222,495.489004,556.4585093,569.2160226,569.8280046,538.674983,584.0191125,551.7459929,591.5219948,575.7049925,494.3227977,559.0460112,575.723008,606.5299931,616.3765366,581.4989831,603.7790024,584.3559906,582.7872445,605.2420098,592.4709873,603.7060019,606.7311034,598.9289968,552.2369871
DE-SfN,47.8064,11.3275,dlem,400.8729993,396.089244,392.0940009,426.6129906,423.214996,424.8329283,434.4579913,406.313999,425.0689995,404.3333556,441.7980043,461.2869963,442.4969982,422.6390607,420.4580009,442.7390013,431.5049913,452.8381521,458.944002,452.0269983,442.6560049,467.0975006,450.8270028,488.7439912,465.0770016,425.9766391,454.0440023,472.9269942,478.378001,493.6091457,469.5360029,481.6990029,483.5960062,473.8160837,473.8610086,495.4239929,483.5520046,485.9911201,481.1819999,451.6620175
DE-Spw,51.8923,14.0337,dlem,403.7780022,409.8361069,409.1410031,456.769006,454.2479892,341.8013201,451.560013,428.5480016,423.2910012,415.8087472,434.4839876,386.6289971,452.0129975,430.2633882,386.2510098,409.5439986,424.8670096,433.5124984,401.4449992,469.7990015,381.096998,406.1424733,453.9689962,458.1960082,455.8579915,379.1481351,434.3580096,455.7910017,447.9449918,483.543196,439.061007,476.9330048,419.9720074,463.9207121,466.3179944,394.3539996,498.7509915,497.4876102,468.6669993,424.7480041
DE-Tha,50.9636,13.5669,dlem,447.4579998,448.4011763,447.8279984,478.7830046,489.6969973,449.6067881,478.8379958,465.0960086,432.5890057,432.8412103,474.5199913,481.1130023,487.908006,465.1485275,413.1749995,459.5659984,458.4380047,488.6019565,528.3160047,517.857999,473.8789888,520.1053267,496.9629915,519.1019968,518.4119957,419.3050689,478.5390011,510.6129996,522.2120145,537.1569322,497.524002,522.3529962,488.3600001,503.7499598,527.3479977,530.9370082,551.5159954,552.7652142,526.3810085,484.6020054
DK-Fou,56.4842,9.5872,dlem,382.28501,395.3854249,398.0579994,459.9810146,418.8820004,354.7594982,386.9820019,422.9550036,395.5500088,426.1767118,419.5789992,413.6549908,403.7010038,427.8727249,364.9090146,349.7920048,340.6640037,393.5668595,402.4930025,444.0450012,419.0210058,436.2350382,418.4150026,431.2040083,405.2689974,329.1219998,389.8279892,419.7169897,474.9009927,460.6159065,430.9579936,469.6789869,445.1480071,470.2106123,460.0350006,459.1830024,452.5149862,459.6297564,457.0280136,417.7700013
DK-NuF,64.1308,-51.3861,dlem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK-Sor,55.4859,11.6446,dlem,352.9299986,358.1769596,352.3979968,390.2720026,363.3279925,350.3621066,371.5610055,363.7899966,356.8620007,363.4665757,370.0400001,374.5330014,360.3100078,367.545429,320.9960077,341.5219988,338.6359973,358.4311002,386.9639994,412.7560007,401.6059905,381.0785337,379.1260009,388.3319923,359.0780012,322.7717375,348.4699897,388.0889991,411.8909973,407.4872842,382.4210077,394.1739962,386.4760034,392.7761131,399.2220049,406.3449994,399.6649964,414.0887735,395.9620026,371.5149927
DK-ZaF,74.4814,-20.5545,dlem,6.531999859,0.037999999,5.435999865,4.356000217,0.988999978,0.638000053,1.858000012,6.11399976,6.361999883,1.38599992,12.11400022,0.986000029,2.38700009,10.66400076,4.357999963,5.718999684,8.63600058,16.20599944,7.947000156,11.69600008,10.74799998,0,1.056999978,1.342000039,5.300000011,5.962000068,6.503999713,5.682000278,3.103999962,4.78999983,8.909000482,10.05299964,10.31899999,7.335999993,7.896999306,0,2.168000086,2.76499997,6.688000218,9.508000077
DK-ZaH,74.4732,-20.5503,dlem,6.531999859,0.037999999,5.435999865,4.356000217,0.988999978,0.638000053,1.858000012,6.11399976,6.361999883,1.38599992,12.11400022,0.986000029,2.38700009,10.66400076,4.357999963,5.718999684,8.63600058,16.20599944,7.947000156,11.69600008,10.74799998,0,1.056999978,1.342000039,5.300000011,5.962000068,6.503999713,5.682000278,3.103999962,4.78999983,8.909000482,10.05299964,10.31899999,7.335999993,7.896999306,0,2.168000086,2.76499997,6.688000218,9.508000077
ES-LgS,37.0979,-2.9658,dlem,383.8230054,393.0475444,400.9379968,399.0839973,402.657993,414.2547188,423.3340051,416.63601,432.418999,438.8083856,434.9599959,435.6620039,414.9470069,411.1110621,415.3340154,435.9130098,448.035001,447.3938263,486.1449883,481.870999,479.1600063,473.7830825,444.7500041,453.433999,436.0350052,458.2095372,495.8919981,477.9970111,465.6080025,463.5231436,464.93299,471.8879882,488.6860005,479.3823252,455.0460061,484.7290094,480.012,472.3628198,479.5149985,486.3099889
ES-Ln2,36.9695,-3.4758,dlem,181.7979953,187.4205726,184.4089964,185.1930018,186.7299997,195.8246071,200.5830018,195.3670046,203.913998,199.4460378,202.5119999,205.4100044,192.8899978,192.5683919,202.0250018,210.2069923,217.4369926,219.7003549,232.3099952,234.0269979,220.9050057,222.4207074,209.6660025,210.4630055,205.004004,224.9545699,250.759003,227.2900066,220.1299957,223.1038582,233.8650018,234.1050068,243.678996,238.292538,228.7680017,235.364004,243.1409983,239.4239328,246.0930014,245.8209975
FI-Hyy,61.8475,24.295,dlem,445.9369912,543.2930021,437.1589913,536.9380098,514.2499903,414.4679891,485.4820027,462.6170082,471.1949887,514.8699971,536.2540028,498.3889932,509.8640045,530.8113197,440.8620003,518.0230032,465.8670191,494.8399903,529.7280098,516.6819931,554.283003,540.6103454,498.0909821,462.2120014,485.8330103,510.9450061,494.0919787,497.6659993,480.3779826,594.8899503,500.8150028,414.6130129,534.3760044,546.5905767,581.5459932,485.3790131,574.8110082,566.8739617,429.1619993,487.4399895
FI-Jok,60.8986,23.5135,dlem,317.2440072,412.2230001,371.3229951,406.7280166,357.7920002,311.8310038,338.8059991,322.4589996,346.7679995,365.3730016,383.2669998,374.8690066,374.5359972,403.0124874,325.0040041,374.5210079,326.020991,347.1910006,388.3220012,376.2839877,419.0230113,412.0085115,366.8560116,370.2879973,393.2459854,376.1399835,368.8600037,364.5560053,377.7140068,457.6555077,384.4289907,337.3089867,421.5930009,410.095183,416.7739844,390.9419967,434.6849934,438.2893941,382.0360003,372.8660001
FI-Lom,67.9972,24.2092,dlem,323.7769965,396.6850035,348.8700077,474.3220153,444.9579935,397.7510164,421.6220137,396.4709869,448.1590046,377.0670016,402.5420086,416.0519928,457.5729981,453.9229843,438.2490098,459.0389909,424.0020089,485.942992,492.4059933,525.6740106,499.0610068,434.4420017,414.1130105,413.6420081,456.4969859,466.340999,378.8160007,498.9870209,550.4549914,526.2900102,481.1179843,465.3400062,419.6340178,501.7479923,504.7670063,441.1139928,509.1420263,465.66599,467.3450028,524.4710014
FI-Sod,67.3619,26.6378,dlem,388.0820016,505.5849866,414.4830129,531.1520017,484.4430029,405.2339943,436.8779991,432.9449987,503.8109887,451.0449905,493.4849974,463.2640023,531.7240068,504.2129915,486.0350123,522.9769991,475.2700133,477.5979967,510.4889973,471.6360019,509.7559987,499.8310031,418.8210013,472.1050109,496.9120102,496.1530167,450.5320033,479.7339987,557.8529823,558.9384178,489.1859975,483.4589975,492.7729868,513.8970164,547.8780039,488.3679804,562.3420013,507.2376359,557.1499952,528.2920077
FR-Fon,48.4764,2.7801,dlem,705.248991,710.8012139,710.3619937,725.6679846,727.0169969,701.5377531,731.5949985,694.13699,718.0540134,697.0444711,732.8440151,734.5670004,721.1839805,713.6235777,665.2479879,688.9920007,699.387989,737.4455081,711.7709915,718.3479842,696.2470202,720.0244234,696.5720032,758.3400197,725.479994,680.706398,741.220996,709.6629805,749.5560137,746.2610664,723.6150152,730.8989989,716.2770174,721.1272971,719.2360042,730.6170164,718.3439884,717.1794587,720.578002,693.6630057
FR-Gri,48.8442,1.9519,dlem,652.5400137,656.7457353,665.0170071,672.4590026,671.7959937,654.3223337,668.3900045,652.7090062,665.6340128,660.107156,674.1229896,688.2750244,684.4380119,673.7973104,641.0500115,639.3830106,656.2760033,694.8318143,697.0959921,700.458981,664.6369957,694.0823649,680.0019875,736.691004,712.9089915,654.8282379,719.2030061,701.7170028,730.7540151,739.0449482,704.4950047,725.9900092,699.5840012,703.0021392,708.9740044,729.7830213,720.7080071,710.8125443,710.2120153,687.7560135
FR-LBr,44.7171,-0.7693,dlem,811.2719941,764.5020246,789.2409842,762.1669909,775.9289923,766.6359403,844.607004,698.3229858,798.4949997,798.7852592,786.3569932,815.2320058,820.9889926,782.9679296,707.0860028,747.1410055,797.2509909,783.5203132,792.7210161,805.1280163,820.1770058,901.8582947,858.4560046,915.8720033,828.5640063,842.5057512,888.0019965,801.8790138,848.2199992,855.9308351,816.4750155,820.0809887,746.6649942,810.890345,738.0619922,829.8569863,845.146978,878.9356342,820.2859972,748.2380059
FR-Pue,43.7414,3.5958,dlem,822.2560065,820.2168566,796.3630116,823.2300154,817.2760143,830.0010049,849.4829949,776.3420079,802.5289837,801.6611389,817.9199994,863.2910334,833.5349784,813.4075604,788.4199958,814.2530012,839.060978,855.0791763,826.1899938,838.3880033,822.5659993,859.1830115,832.0709963,871.3589936,823.4279984,854.1749009,889.8819889,834.0599977,882.7340157,877.9311483,854.190993,874.2840073,852.4550049,841.7730058,800.4290154,834.9610205,822.8480085,859.0392647,850.6240144,811.6870189
GF-Guy,5.2788,-52.9249,dlem,410.0060072,414.509867,413.787005,416.0500025,424.050003,404.3237858,410.1349974,417.7740011,430.5299966,426.6185034,428.3970074,418.5430038,437.6120002,410.7832074,441.217,425.6450139,453.8109954,437.1176744,418.9990026,436.5860027,432.5219993,442.5770646,427.6370005,429.1310012,449.1890083,437.0878149,438.0569967,453.1570032,428.6560075,434.8278134,449.6789965,435.9129928,461.0419921,459.9821771,469.4749941,445.7769951,447.4869947,439.9864987,445.9739886,454.5609998
IT-BCi,40.5238,14.9574,dlem,289.9950033,303.4638218,293.4939983,290.2300029,302.7220001,306.7602155,303.8180035,299.047996,314.5520028,298.9036746,299.6679994,308.614997,299.9520038,308.3227909,296.5199929,302.1540006,307.9869941,304.0328215,306.3069978,316.8529969,306.6949946,320.3483525,299.5229954,322.4699993,310.691006,306.4564608,298.6850021,298.8619951,327.0959964,318.1642149,307.4659988,331.7970038,320.9399916,317.8363882,310.6929958,325.0859991,313.5239926,321.933999,324.9370017,327.6989919
IT-CA1,42.3804,12.0266,dlem,318.9590038,371.4145334,347.0240042,322.447002,335.0240007,377.8750779,372.4459961,349.0209947,357.7929978,355.1856714,358.6550033,372.1670066,354.9239994,387.1885688,339.4810028,346.752005,368.0149965,350.8954302,383.2499966,383.257999,364.4990045,388.0928196,348.1389975,370.3809917,394.683007,429.0965338,413.1240016,389.2930044,383.8900038,382.3800055,356.6969957,409.8950087,409.0050053,375.4078424,377.4880008,397.5669932,371.7929969,407.41692,415.8649999,399.7460037
IT-CA2,42.3772,12.026,dlem,318.9590038,371.4145334,347.0240042,322.447002,335.0240007,377.8750779,372.4459961,349.0209947,357.7929978,355.1856714,358.6550033,372.1670066,354.9239994,387.1885688,339.4810028,346.752005,368.0149965,350.8954302,383.2499966,383.257999,364.4990045,388.0928196,348.1389975,370.3809917,394.683007,429.0965338,413.1240016,389.2930044,383.8900038,382.3800055,356.6969957,409.8950087,409.0050053,375.4078424,377.4880008,397.5669932,371.7929969,407.41692,415.8649999,399.7460037
IT-CA3,42.38,12.0222,dlem,318.9590038,371.4145334,347.0240042,322.447002,335.0240007,377.8750779,372.4459961,349.0209947,357.7929978,355.1856714,358.6550033,372.1670066,354.9239994,387.1885688,339.4810028,346.752005,368.0149965,350.8954302,383.2499966,383.257999,364.4990045,388.0928196,348.1389975,370.3809917,394.683007,429.0965338,413.1240016,389.2930044,383.8900038,382.3800055,356.6969957,409.8950087,409.0050053,375.4078424,377.4880008,397.5669932,371.7929969,407.41692,415.8649999,399.7460037
IT-Col,41.8494,13.5881,dlem,497.6459993,531.5629265,513.6519962,506.3829883,520.6289837,559.3289239,558.6309943,538.5140027,564.1429923,529.8970313,522.8669972,549.781006,559.7060082,565.4825393,528.7780066,550.179006,559.9150067,557.6512121,578.4720004,584.7390054,563.8810036,592.7149412,537.9769956,576.8889944,565.3419996,592.6531197,574.4030035,570.8459864,611.0320056,606.4426779,573.1309847,617.6019983,617.1620113,606.6294003,583.4360038,616.7730078,590.8680137,598.0257592,640.0150095,619.3250033
IT-Cp2,41.7043,12.3573,dlem,61.27099946,69.6205366,63.83999933,63.65100002,69.47300068,72.66839314,69.56799898,68.0019998,72.33399871,70.44964082,70.40099849,76.02699983,74.41300115,78.74442881,71.7219992,73.23099875,74.8049998,72.13460645,79.91300019,81.15699973,77.2719992,80.26803586,70.96000092,75.60800148,83.21299994,87.84942866,83.33199945,77.67000034,81.84899864,83.2601803,74.55299995,82.14100148,85.2399988,84.36218114,82.60699855,79.44800124,73.63300266,82.06710582,83.41200067,78.20099912
IT-Cpz,41.7052,12.3761,dlem,61.27099946,69.6205366,63.83999933,63.65100002,69.47300068,72.66839314,69.56799898,68.0019998,72.33399871,70.44964082,70.40099849,76.02699983,74.41300115,78.74442881,71.7219992,73.23099875,74.8049998,72.13460645,79.91300019,81.15699973,77.2719992,80.26803586,70.96000092,75.60800148,83.21299994,87.84942866,83.33199945,77.67000034,81.84899864,83.2601803,74.55299995,82.14100148,85.2399988,84.36218114,82.60699855,79.44800124,73.63300266,82.06710582,83.41200067,78.20099912
IT-Isp,45.8126,8.6336,dlem,379.9250036,388.655256,390.6000057,401.847003,403.0510078,404.3512476,408.4269907,388.706013,409.4239959,405.4415751,412.3219834,435.095001,420.0209984,418.8601826,414.2950051,432.9270015,430.1960051,447.4512839,439.8880094,446.9399944,447.0319949,463.767932,450.3720102,476.9269992,459.5880056,463.2878901,471.8420066,459.8609928,478.5420021,490.6133176,467.5560068,489.0380053,475.1989879,476.4351843,470.5510002,495.0850068,494.0519994,495.5972102,491.9159973,479.1049965
IT-La2,45.9542,11.2853,dlem,385.2839974,425.8882756,394.1720025,427.9630019,411.7040042,407.2340033,451.6270001,422.3720011,461.3099912,455.0442514,453.0690058,475.5469998,429.0340009,459.5168928,453.3919979,478.9369971,467.7900049,465.9055725,454.8129868,471.4140048,462.7420003,481.9248295,458.5820022,519.3110081,493.3380044,485.2945385,498.9349982,516.149993,546.2359934,527.8031171,483.2330156,560.8580043,520.592987,504.0361068,505.0780022,559.4260046,521.9379952,565.404955,540.7619961,530.4120111
IT-Lav,45.9562,11.2813,dlem,385.2839974,425.8882756,394.1720025,427.9630019,411.7040042,407.2340033,451.6270001,422.3720011,461.3099912,455.0442514,453.0690058,475.5469998,429.0340009,459.5168928,453.3919979,478.9369971,467.7900049,465.9055725,454.8129868,471.4140048,462.7420003,481.9248295,458.5820022,519.3110081,493.3380044,485.2945385,498.9349982,516.149993,546.2359934,527.8031171,483.2330156,560.8580043,520.592987,504.0361068,505.0780022,559.4260046,521.9379952,565.404955,540.7619961,530.4120111
IT-MBo,46.0147,11.0458,dlem,364.3040038,403.4091805,382.411993,390.990998,404.7460042,382.96026,413.5319966,360.0210043,435.0220043,373.1405018,401.7410012,452.6569887,406.591991,404.5661753,406.3139936,429.8979923,436.3450026,418.8297782,428.7970075,456.3779926,448.312993,446.7800864,435.5310023,471.6860059,403.0800069,436.8916784,453.9729995,453.721992,473.5780093,474.8315384,430.1390105,489.6640083,456.164996,435.3872182,452.501,497.3759989,465.1179907,488.0776707,498.8399904,467.2829931
IT-Noe,40.6061,8.1515,dlem,63.00100056,69.83867877,75.21499944,73.97199854,78.66999859,84.34042845,83.57699976,75.94499947,78.29399796,77.09892774,80.92599992,79.42700057,77.1750003,87.80753563,78.99200067,76.66199944,77.96400227,79.98585514,81.52999949,82.24899898,82.77399877,77.40460798,78.34900078,90.24699634,86.65600157,94.74178562,91.51299992,87.75299888,89.88799974,96.20800065,88.65800001,95.74100065,100.5549991,95.42749906,91.9720012,98.61900269,94.06700118,100.2178919,98.65299993,92.39299861
IT-PT1,45.2009,9.061,dlem,448.3270049,460.7008588,459.6079941,479.1800036,469.408009,484.7532648,476.4579983,461.5350102,506.8409971,500.693436,508.9169923,559.0349958,507.2380149,534.830787,518.4290024,542.4559808,528.581994,554.0163955,554.1810027,548.8700041,530.6869887,562.9385985,572.9009985,598.73298,574.3269935,584.2799246,594.0050049,579.4289884,582.2110048,605.7344027,595.6370043,626.0700119,599.3219992,580.0231752,592.2339838,624.2589977,597.8490064,622.6224992,635.005005,603.3320029
IT-Ren,46.5869,11.4337,dlem,295.6839946,316.4642158,256.8599955,263.3880004,291.3749916,284.1678971,276.212001,234.5119913,305.0610094,355.7972882,288.8250043,338.5380004,330.1960027,275.8000066,294.0659972,311.483,322.8729935,339.4944677,317.0060029,325.9229991,315.893994,351.3107154,369.6499921,354.9470068,298.0539967,335.642784,340.5369996,327.1139925,357.6680038,384.5694877,312.8959989,363.4739994,408.2419997,328.372284,326.6129998,357.8670039,345.6360063,362.8225742,392.1469959,359.7000054
IT-Ro1,42.4081,11.93,dlem,358.9189987,398.325974,374.0359929,367.398995,368.5770039,394.3741137,391.9019951,374.07001,388.1069922,377.0967507,373.5320046,392.0609923,379.4869991,396.8029952,381.9950036,383.5090029,399.6840079,390.4575795,395.8890145,399.6260046,389.2369973,418.5812221,382.869007,409.7420063,400.4839983,422.7559481,420.5869961,404.7359987,404.6900018,414.5569519,397.0439934,422.897007,415.1939964,416.6743194,408.2919905,426.2069984,408.1750039,426.0920336,432.2920056,427.9080018
IT-Ro2,42.3903,11.9209,dlem,358.9189987,398.325974,374.0359929,367.398995,368.5770039,394.3741137,391.9019951,374.07001,388.1069922,377.0967507,373.5320046,392.0609923,379.4869991,396.8029952,381.9950036,383.5090029,399.6840079,390.4575795,395.8890145,399.6260046,389.2369973,418.5812221,382.869007,409.7420063,400.4839983,422.7559481,420.5869961,404.7359987,404.6900018,414.5569519,397.0439934,422.897007,415.1939964,416.6743194,408.2919905,426.2069984,408.1750039,426.0920336,432.2920056,427.9080018
IT-SR2,43.732,10.291,dlem,199.7360041,210.8020343,201.1229984,200.3410012,213.3249998,219.1441753,221.6409945,220.2010076,219.8150006,209.2353934,212.2380029,221.3199975,225.1849977,238.9428179,214.0440055,219.1359987,232.8809922,229.2670704,237.5850034,239.0299994,241.0899975,255.6190329,215.3810028,226.2600034,233.1120018,246.7168592,227.8670032,221.4380024,228.9010004,235.9838573,224.9339999,265.5779978,230.2700046,230.7720328,225.0369934,245.3979994,244.0299978,241.9258267,241.5879999,263.7000024
IT-SRo,43.7279,10.2844,dlem,199.7360041,210.8020343,201.1229984,200.3410012,213.3249998,219.1441753,221.6409945,220.2010076,219.8150006,209.2353934,212.2380029,221.3199975,225.1849977,238.9428179,214.0440055,219.1359987,232.8809922,229.2670704,237.5850034,239.0299994,241.0899975,255.6190329,215.3810028,226.2600034,233.1120018,246.7168592,227.8670032,221.4380024,228.9010004,235.9838573,224.9339999,265.5779978,230.2700046,230.7720328,225.0369934,245.3979994,244.0299978,241.9258267,241.5879999,263.7000024
