site,lat,lon,model,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AU-Fog,-12.5452,131.3072,caraib,655.4737891,549.8657305,547.2750768,481.907631,502.3744367,558.412788,864.9469918,1039.922199,737.457066,637.3848487,574.9979342,479.4917237,532.9494143,473.2888709,488.4146196,524.5657948,490.0988196,529.882498,499.1717935,541.9126624,516.1114599,561.0401248,628.7297598,997.2716901,1239.946236,964.7280677,706.8510678,635.6122819,538.3328314,522.7738572,519.727323,514.205824,516.6927547,533.5417128,546.0160973,637.093378,1037.078063,960.4185221,1002.464355,855.5565018
AU-Gin,-31.3764,115.7138,caraib,553.91314,589.1344952,582.1499309,599.5461581,583.069732,590.463168,541.0038627,548.6517892,557.5009779,577.7483396,517.669587,525.6103262,560.5425151,586.3690648,546.4173021,571.8353075,611.3125233,629.150639,571.7982941,586.0455775,617.8308461,620.6626377,580.5064021,604.2765746,621.1638894,603.4334689,588.9934273,602.234204,629.9150224,589.815842,598.4002488,607.6056144,633.0946574,602.3565922,603.68493,562.2464062,598.5973394,615.5630095,592.9090849,584.2203218
AU-GWW,-30.1913,120.6541,caraib,171.2036197,186.0628872,198.0880381,223.9145918,249.667103,186.1922875,198.9431467,240.996668,216.3844019,245.6153671,187.7647577,221.9209086,193.1265035,230.1814679,231.9860525,246.5428406,264.6411004,256.3105034,227.9686643,256.1157379,277.8185129,361.0320962,297.256795,242.2669825,326.9439828,247.9068709,237.8964153,307.8058551,325.1640786,300.9596826,287.9570303,249.2668989,286.681379,275.7641304,236.4860257,300.5344643,235.7369734,267.2230855,258.9798648,239.4895599
AU-How,-12.4943,131.1523,caraib,831.9434141,687.1283175,679.2589396,587.4846575,618.9214089,722.5140782,1119.378187,989.8338831,770.847493,702.0816322,678.110357,601.5521836,684.7480959,623.3983652,653.5047855,680.5326121,655.6528714,696.1762706,771.6452286,1131.014141,1083.730945,950.4167125,754.6648696,693.2597859,690.9489262,686.6520725,638.7588999,655.9750522,724.768575,893.7424026,822.2561291,853.6888735,897.3352349,784.9203635,758.5515259,877.5491137,1371.720676,1146.208578,1158.381485,996.0360542
AU-Lox,-34.4704,140.6551,caraib,234.0524476,208.7338214,312.7603926,306.8840539,266.4103415,247.343583,223.4216705,250.559561,292.0878178,271.119081,251.8632295,207.017943,257.9690147,236.6841256,244.8533054,247.4469677,259.3854134,268.3630068,267.748026,264.4756837,257.2486466,296.125205,286.8041032,226.3468401,289.7262721,258.4696111,274.2453507,275.9839048,288.440614,322.8395585,284.9374811,241.830423,293.2710883,276.7472962,296.3323187,255.4467302,290.2441999,260.1548058,285.9746855,330.9620451
AU-RDF,-14.5636,132.4776,caraib,479.7568521,415.1594629,480.9554747,432.6487477,459.1653218,446.1336422,471.5906831,588.0802925,546.4713283,546.1368319,560.9697473,526.2413163,601.2476916,535.1725482,514.6920704,462.3956322,486.2301666,592.7470132,627.5945136,534.9971234,455.8866374,442.4347562,409.754357,420.5448717,402.4272803,389.1561518,374.7541127,449.1185068,418.6255704,450.7193306,440.8963009,544.8111517,901.4286545,784.7192457,663.4685306,507.2692662,448.6265922,453.7412058,453.619151,607.8684102
AU-Rig,-36.6499,145.5759,caraib,650.3211349,626.4102458,704.2504135,711.0292057,661.3434459,619.6354429,642.3527384,689.1746971,673.8328412,684.4886356,703.5260504,614.3757548,710.0713884,710.8307742,679.1145487,689.6846307,695.3641973,748.6147888,759.3289177,709.1515763,675.7151413,729.6507424,803.2777364,735.7288507,728.2823788,757.5960493,753.8604778,748.2719483,790.0283095,790.3408158,766.6286757,688.8225162,762.2474208,723.6623432,780.1489252,635.530585,737.5381242,752.586474,761.4600358,823.0191898
AU-Rob,-17.1175,145.6301,caraib,1102.886081,1014.948083,1059.982126,863.4285353,961.8215521,842.7082752,882.3398795,896.9890619,861.0559815,1769.627633,1543.073371,1210.368758,1298.797677,1276.371861,1102.362481,1079.329684,1171.056302,1182.162313,961.698838,970.6814103,936.5095861,1022.560309,1106.783406,1045.319942,1079.030543,1070.215699,1040.264012,1170.375955,966.1967791,915.8023368,960.4725364,942.4299741,1191.92933,1080.716424,1108.146439,1088.047817,1007.341867,1062.581466,989.8989228,1084.825171
AU-Stp,-17.1507,133.3502,caraib,133.6360555,127.4031993,138.5112179,132.1552984,155.1777494,150.5570494,166.7850203,179.0126139,177.8923763,182.1468786,225.4983986,192.4568283,198.3408366,193.2809186,190.2680401,157.5566318,172.4312443,165.9222448,157.9121481,141.9389746,172.5699787,159.7067305,150.0584635,133.7427737,150.8275187,135.9745863,134.079617,143.4677572,139.057498,154.7501974,151.7616674,154.7992221,219.2978903,205.5391879,194.3071044,188.4677843,186.2859987,186.56481,181.4635376,242.7282182
AU-TTE,-22.287,133.64,caraib,72.75823321,76.47613758,76.80797569,109.3569649,95.85472084,88.75241943,90.61070283,89.66922294,96.6808113,90.22517474,89.66322084,90.52366138,121.6879442,108.1726933,87.35770728,100.9159775,84.64298276,90.99323452,89.84564577,89.26968606,95.3111114,81.39332026,83.78888085,74.29135275,107.7818273,93.3614458,91.07794203,77.98991295,66.22055487,95.918754,79.38695939,72.99535552,79.33393263,103.9772125,95.65728858,78.63724505,84.98115831,71.89078931,65.29374936,106.0562771
