site,lat,lon,model,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AU-TTE,-22.287,133.64,caraib,76.81964655,97.74135391,118.78079,228.7267217,221.5006922,241.0176774,228.5236187,222.2357341,252.5966068,200.1831138,197.8849355,183.7990605,195.3176268,202.6983982,143.7395589,169.4683947,158.8629669,178.9855982,201.1629512,188.5948493,208.1541934,204.8188183,237.9210913,93.67927307,48.08694313,86.53361841,123.3411245,101.1437616,75.40592439,210.6471341,259.0012127,126.6624899,99.68201449,241.7357154,122.8845544,194.810697,186.8656272,119.4664734,117.1146026,195.9075864
AU-Tum,-35.6566,148.1517,caraib,1085.623903,1126.478824,1190.63833,1178.135258,1177.774058,1247.733528,1166.287862,1230.539738,1202.679157,1242.376486,1317.944792,1165.180306,1260.777547,1343.413838,1269.806185,1295.112119,1364.231831,1387.515772,1432.955652,1440.726657,1377.151762,1498.37479,1608.942061,1516.501092,1544.990359,1587.335675,1528.732649,1492.548506,1617.622188,1666.850039,1607.45763,1589.726241,1370.013767,1418.931521,1535.860007,1382.304409,1513.822708,1609.290235,1437.465286,1579.588397
AU-Wac,-37.4259,145.1878,caraib,1447.826935,1423.857,1416.679379,1436.736571,1396.915887,1387.092871,1368.120492,1340.427289,1410.654922,1380.941046,1406.138239,1272.533549,1330.50524,1442.993138,1390.01101,1442.407179,1460.410708,1519.844795,1547.072063,1543.865413,1460.214967,1542.368022,1586.741073,1502.236716,1493.071424,1582.050979,1478.10274,1454.008086,1610.982743,1596.064486,1561.018874,1490.675572,1442.926426,1544.28599,1624.694121,1471.442041,1460.988367,1541.431183,1538.718801,1667.656105
AU-Whr,-36.6732,145.0294,caraib,1033.867101,1005.365507,1048.745705,1089.670991,1005.931463,1011.978912,976.8095659,1004.048523,1008.26398,993.500436,1021.909006,910.7284147,954.3133821,1038.013544,977.5059243,1038.58685,1043.724451,1081.453438,1135.221298,1107.292657,1064.886299,1136.665371,1194.68973,1097.046767,1086.849555,1137.257976,1096.897012,1089.75602,1146.929967,1152.839317,1148.15193,1056.471667,1100.830693,1085.077313,1171.457507,1051.310995,1082.296206,1171.107331,1119.715376,1229.10669
AU-Wom,-37.4222,144.0944,caraib,1178.988706,1165.768934,1168.352597,1184.841367,1141.407112,1150.361362,1119.308481,1109.890662,1171.753345,1121.508945,1153.732771,1085.721956,1086.164192,1165.383066,1137.87698,1161.914274,1178.744226,1230.059482,1239.717764,1251.036892,1194.951194,1250.931155,1290.364371,1228.554048,1212.262074,1265.043068,1195.140295,1223.012903,1301.462361,1318.878975,1277.568485,1267.840836,1258.341969,1271.467364,1316.353985,1228.616094,1298.797364,1289.445885,1302.88512,1373.473229
AU-Ync,-34.9893,146.2907,caraib,784.9490418,757.0861058,828.7914806,921.5859769,782.0242147,764.8747654,679.2976504,766.2304651,750.743203,698.2063222,767.0782265,644.7983272,682.4765968,714.0874547,703.5127022,705.5153925,691.3318086,738.2518125,855.5331667,828.6003738,697.4312543,852.9204989,946.3799889,790.7350097,873.573721,885.1770018,817.2799289,857.4674699,930.754333,974.4123412,892.7028473,800.5233425,825.0332161,669.0627444,750.642813,671.6737263,768.5843414,845.1741858,775.0626397,967.2833376
BE-Bra,51.3092,4.5206,caraib,1369.121665,1377.147802,1304.437545,1399.258068,1317.99085,976.031169,1285.592922,1275.593131,1192.599001,1295.487313,1320.0599,1347.545985,1362.238137,1310.722121,1348.396391,1322.975387,1378.14461,1424.770167,1350.44108,1419.349385,1353.368917,1509.005243,1485.25274,1458.684512,1441.043138,1303.710868,1491.961187,1487.383853,1510.619399,1561.566171,1478.816138,1573.64069,1474.470578,1504.993889,1554.901741,1508.228485,1649.509827,1576.882007,1591.000863,1442.336446
BE-Lon,50.5516,4.7461,caraib,1377.237796,1239.612025,1209.851175,1328.452874,1228.329286,996.4199209,1306.549299,1299.02748,1262.557134,1337.038903,1371.4802,1398.858191,1399.361799,1369.374137,1384.854023,1320.506449,1359.061205,1448.309176,1355.957262,1400.385358,1355.535045,1517.704042,1488.162616,1492.710228,1493.682077,1347.691365,1559.135574,1490.285677,1535.080618,1586.621637,1479.217696,1598.504703,1502.317159,1518.533454,1587.864615,1536.152821,1670.054661,1614.42087,1627.532565,1469.565065
BE-Vie,50.3051,5.9981,caraib,1313.484873,1328.232767,1182.623247,1293.844824,1181.349556,937.8813259,1174.155549,1185.882239,1146.15758,1230.429673,1299.225247,1299.562043,1309.935701,1313.0046,1281.158983,1256.068484,1309.945369,1422.132129,1377.172139,1363.734559,1311.748644,1496.745299,1443.024143,1494.265051,1501.621777,1328.508237,1571.55892,1492.74324,1500.250781,1564.681423,1464.614851,1584.041321,1473.361651,1506.681723,1518.339736,1513.789721,1649.064914,1600.900615,1591.317059,1464.366735
BR-Sa3,-3.018,-54.9714,caraib,1928.368893,1415.685145,1831.57471,2123.643803,1755.419702,1480.059781,1397.487183,1581.084808,1630.932301,1604.417087,1353.820846,1635.573332,1185.944938,2241.150956,2195.781398,1996.011129,1595.365461,1946.487825,2163.327783,2009.932935,1611.882562,1365.766275,1685.311488,2034.23772,1650.114136,1850.48196,1418.864768,1339.021231,1985.589169,2370.945731,1665.324585,1664.034617,1684.664793,1922.708308,1811.136868,1950.077996,1586.345482,2103.777932,2086.937712,2103.639248
CA-Man,55.8796,-98.4808,caraib,438.8479202,456.8004447,529.3919149,402.9338742,357.8437927,505.1868718,671.9462075,690.5974165,672.1653055,686.9422005,592.2377711,478.2370936,349.2350469,487.9974048,555.4946149,649.9532747,765.2983075,758.4995031,667.7837679,367.5040666,418.4414668,436.2055613,599.0652508,672.7352971,673.91054,580.652144,535.3606595,713.5961938,804.8809344,774.3609496,769.3420556,519.1119866,534.8350485,490.0301181,471.8461312,599.0429203,629.2453586,691.0423056,639.2448115,825.027222
CA-NS1,55.8792,-98.4839,caraib,438.8479202,456.8004447,529.3919149,402.9338742,357.8437927,505.1868718,671.9462075,690.5974165,672.1653055,686.9422005,592.2377711,478.2370936,349.2350469,487.9974048,555.4946149,649.9532747,765.2983075,758.4995031,667.7837679,367.5040666,418.4414668,436.2055613,599.0652508,672.7352971,673.91054,580.652144,535.3606595,713.5961938,804.8809344,774.3609496,769.3420556,519.1119866,534.8350485,490.0301181,471.8461312,599.0429203,629.2453586,691.0423056,639.2448115,825.027222
CA-NS2,55.9058,-98.5247,caraib,456.92951,470.1659534,550.8695793,439.3738574,436.4153531,587.244847,732.4678503,725.3382153,694.6341651,709.3970447,597.1659467,500.0565917,389.7854733,541.2933437,592.5966071,690.2429032,797.809307,772.0804394,676.8530557,381.7743713,483.5241138,511.7165449,662.5333971,720.4623791,694.9116393,605.9974553,568.417889,731.7768144,821.9586705,788.8583828,775.3664727,556.3690511,626.2861792,543.3827602,508.1840658,630.7464767,654.0006937,706.2601172,658.3582547,832.949267
CA-NS3,55.9117,-98.3822,caraib,438.8479202,456.8004447,529.3919149,402.9338742,357.8437927,505.1868718,671.9462075,690.5974165,672.1653055,686.9422005,592.2377711,478.2370936,349.2350469,487.9974048,555.4946149,649.9532747,765.2983075,758.4995031,667.7837679,367.5040666,418.4414668,436.2055613,599.0652508,672.7352971,673.91054,580.652144,535.3606595,713.5961938,804.8809344,774.3609496,769.3420556,519.1119866,534.8350485,490.0301181,471.8461312,599.0429203,629.2453586,691.0423056,639.2448115,825.027222
CA-NS4,55.9117,-98.3822,caraib,438.8479202,456.8004447,529.3919149,402.9338742,357.8437927,505.1868718,671.9462075,690.5974165,672.1653055,686.9422005,592.2377711,478.2370936,349.2350469,487.9974048,555.4946149,649.9532747,765.2983075,758.4995031,667.7837679,367.5040666,418.4414668,436.2055613,599.0652508,672.7352971,673.91054,580.652144,535.3606595,713.5961938,804.8809344,774.3609496,769.3420556,519.1119866,534.8350485,490.0301181,471.8461312,599.0429203,629.2453586,691.0423056,639.2448115,825.027222
CA-NS5,55.8631,-98.485,caraib,438.8479202,456.8004447,529.3919149,402.9338742,357.8437927,505.1868718,671.9462075,690.5974165,672.1653055,686.9422005,592.2377711,478.2370936,349.2350469,487.9974048,555.4946149,649.9532747,765.2983075,758.4995031,667.7837679,367.5040666,418.4414668,436.2055613,599.0652508,672.7352971,673.91054,580.652144,535.3606595,713.5961938,804.8809344,774.3609496,769.3420556,519.1119866,534.8350485,490.0301181,471.8461312,599.0429203,629.2453586,691.0423056,639.2448115,825.027222
CA-NS6,55.9167,-98.9644,caraib,456.92951,470.1659534,550.8695793,439.3738574,436.4153531,587.244847,732.4678503,725.3382153,694.6341651,709.3970447,597.1659467,500.0565917,389.7854733,541.2933437,592.5966071,690.2429032,797.809307,772.0804394,676.8530557,381.7743713,483.5241138,511.7165449,662.5333971,720.4623791,694.9116393,605.9974553,568.417889,731.7768144,821.9586705,788.8583828,775.3664727,556.3690511,626.2861792,543.3827602,508.1840658,630.7464767,654.0006937,706.2601172,658.3582547,832.949267
CA-NS7,56.6358,-99.9483,caraib,455.1636214,406.6377665,432.9915902,367.1012044,387.8117934,514.4312561,654.6643546,641.8861585,606.2899431,586.953075,566.4432059,491.5488799,414.8543093,549.3054442,558.1229639,622.6326304,686.7697909,700.021926,633.6836377,450.7790234,502.3887737,466.3833537,575.3891259,618.9490931,602.114813,602.978921,582.1499117,703.1358428,777.5966208,736.3921812,738.7940926,582.3586904,655.1115944,552.2919782,576.5810603,650.2174326,631.3187656,670.7846273,589.0701198,769.3933897
CA-Qfo,49.6925,-74.3421,caraib,683.5001041,570.8778123,728.5188027,557.0897715,692.7235129,645.9142069,725.3108594,685.411099,749.7370264,732.5565522,674.787321,705.1692034,727.3155426,770.0150632,741.4250631,750.3143035,835.0917085,794.5382704,745.7499524,741.6475466,782.3903802,689.9521042,730.3861136,725.1591137,733.4289993,697.517283,706.2620884,836.6598345,795.4170694,803.1893642,845.6724355,746.3555988,733.0911853,699.6547356,802.6747818,809.5873147,814.2640304,812.3607353,787.058801,908.3818898
CA-SF1,54.485,-105.8176,caraib,710.359541,682.4632404,847.353963,812.5691919,882.7810818,964.0030032,1048.948503,1043.864228,862.5210773,790.9514613,912.5640052,820.2941418,784.6608741,855.3027068,856.389269,973.437501,1074.387489,1007.641642,953.3188547,888.5834155,1002.267263,935.5557796,1061.891458,1149.348884,966.1491182,977.3061661,1010.605172,1157.264233,1191.221287,1142.045477,702.865363,221.2295536,536.2821096,794.09871,1023.852643,1070.204368,1046.949763,1007.391219,1006.789563,1163.63717
CA-SF2,54.2539,-105.8775,caraib,710.359541,682.4632404,847.353963,812.5691919,882.7810818,964.0030032,1048.948503,1043.864228,862.5210773,790.9514613,912.5640052,820.2941418,784.6608741,855.3027068,856.389269,973.437501,1074.387489,1007.641642,953.3188547,888.5834155,1002.267263,935.5557796,1061.891458,1149.348884,966.1491182,977.3061661,1010.605172,1157.264233,1191.221287,1142.045477,702.865363,221.2295536,536.2821096,794.09871,1023.852643,1070.204368,1046.949763,1007.391219,1006.789563,1163.63717
CA-SF3,54.0916,-106.0053,caraib,699.0607462,680.9975083,838.3520283,855.7759555,927.9312068,982.5635136,1051.099225,1044.901412,812.9560289,721.4041914,868.3667355,734.3498015,721.1573852,851.9439919,862.6121094,982.1062839,1078.088047,1011.800134,957.4246382,889.1220041,774.5887381,477.2265652,844.5352281,1071.3526,942.1511668,966.1651362,992.3898633,1159.424994,1192.095407,1145.114359,944.557398,675.9642569,849.7622286,914.583393,1046.440198,1049.807578,1022.733729,981.995216,981.2751803,1131.354323
CH-Cha,47.2102,8.4104,caraib,1416.594935,1351.295225,1305.2193,1377.377899,1334.462613,1357.570769,1373.223451,1351.498626,1341.648269,1421.749291,1395.978759,1411.437639,1463.564339,1454.182516,1452.242871,1390.302145,1412.726626,1527.74884,1557.005813,1425.314396,1464.338753,1529.115858,1473.300979,1534.598346,1462.29667,1469.168557,1562.610998,1462.162285,1542.010464,1603.462621,1572.784537,1542.458048,1453.952758,1488.745566,1586.328814,1562.892814,1602.80661,1601.212135,1645.006191,1583.394655
CH-Dav,46.8153,9.8559,caraib,714.6287165,714.6330627,732.1990379,620.4405371,611.6540156,674.4951782,652.0270221,556.3390397,543.3460657,560.726625,683.5078093,646.035949,736.4238632,611.5652989,706.9707848,697.698707,671.457618,773.4531482,878.7126978,931.2072301,832.1128438,774.3342529,886.9852787,857.5969064,767.664861,901.9459003,1013.370966,927.599694,802.3636266,787.8411784,762.8537209,924.5524723,963.3603301,874.7303074,941.7949578,937.2543382,1069.006734,920.604459,934.0469906,868.0208679
CH-Fru,47.1158,8.5378,caraib,1399.944426,1337.921704,1255.509535,1345.186092,1278.585975,1326.977444,1320.459054,1311.675922,1306.107412,1346.006205,1363.027247,1368.953907,1442.785997,1416.338832,1404.669535,1364.477631,1379.674386,1484.259934,1547.777105,1398.494009,1435.072726,1503.188911,1453.167705,1504.826784,1422.606707,1437.181846,1545.558954,1440.577581,1505.484447,1562.349574,1516.029832,1545.306149,1430.908616,1468.708283,1508.677767,1526.655616,1576.805609,1552.01591,1607.296895,1545.887424
CH-Lae,47.4781,8.365,caraib,1416.594935,1351.295225,1305.2193,1377.377899,1334.462613,1357.570769,1373.223451,1351.498626,1341.648269,1421.749291,1395.978759,1411.437639,1463.564339,1454.182516,1452.242871,1390.302145,1412.726626,1527.74884,1557.005813,1425.314396,1464.338753,1529.115858,1473.300979,1534.598346,1462.29667,1469.168557,1562.610998,1462.162285,1542.010464,1603.462621,1572.784537,1542.458048,1453.952758,1488.745566,1586.328814,1562.892814,1602.80661,1601.212135,1645.006191,1583.394655
CH-Oe1,47.2858,7.7319,caraib,1423.130991,1374.451378,1353.229539,1405.545011,1392.509619,1348.661867,1418.56831,1374.520402,1382.648577,1442.214375,1467.341951,1465.763777,1515.654338,1452.242188,1502.332482,1409.23018,1462.673158,1547.071061,1548.210976,1488.053872,1496.791028,1564.711758,1511.283738,1584.525221,1502.536275,1500.67534,1608.889714,1486.927302,1596.690151,1641.380323,1642.798677,1615.88789,1515.895127,1541.965129,1630.103579,1592.840464,1652.867217,1613.144869,1689.572015,1616.098048
CH-Oe2,47.2863,7.7343,caraib,1423.130991,1374.451378,1353.229539,1405.545011,1392.509619,1348.661867,1418.56831,1374.520402,1382.648577,1442.214375,1467.341951,1465.763777,1515.654338,1452.242188,1502.332482,1409.23018,1462.673158,1547.071061,1548.210976,1488.053872,1496.791028,1564.711758,1511.283738,1584.525221,1502.536275,1500.67534,1608.889714,1486.927302,1596.690151,1641.380323,1642.798677,1615.88789,1515.895127,1541.965129,1630.103579,1592.840464,1652.867217,1613.144869,1689.572015,1616.098048
CN-Cha,42.4025,128.0958,caraib,844.4444785,837.9485237,846.4952257,836.7708707,905.7738877,812.6915741,897.1657949,897.9168584,848.0303283,811.0167198,837.6943872,820.1303887,858.1938485,820.6573005,831.8383893,789.7041536,826.4802857,827.5007969,851.6028169,885.8923685,885.2854008,888.4897006,841.2815511,895.4235867,838.0131882,865.4592611,880.2984847,925.9471995,872.9587574,895.4399344,890.8105472,889.7270099,897.3422062,914.4933424,924.5725024,907.1819332,919.9458219,965.2856503,916.7501766,858.4290047
CN-Cng,44.5934,123.5092,caraib,1150.458419,855.5628439,964.2418082,1101.478676,1056.789838,1126.020282,1277.431056,1304.905471,1344.660154,1200.066813,1085.738662,894.3370146,1181.940534,1192.091708,1117.167058,1083.748953,1229.345471,1351.333905,1332.967176,1496.820002,1434.611818,1409.408954,1286.561097,1198.794491,1101.593414,1043.282895,927.5316735,1126.557208,1067.607348,847.2716023,885.8766921,941.3817648,1044.947083,1000.112471,1269.780844,1132.631297,991.5747749,1130.014622,1055.851995,1086.695123
CN-Dan,30.4978,91.0664,caraib,230.2918539,119.1956694,76.28737348,183.2354387,288.689074,398.3862099,499.5486483,589.8428576,199.8362677,73.41723909,177.3821122,301.854812,387.8618227,174.2958646,80.06297258,183.9488065,299.3381899,422.6729653,526.9349957,648.9080795,673.9292264,633.92342,303.5066553,119.8703466,236.2949272,395.7075035,513.4957872,639.2184568,780.1569243,948.3026419,844.5735653,881.9770302,968.3709184,967.2156666,879.6631789,828.5313474,898.5094848,910.5219771,804.0021263,775.4805328
CN-Din,23.1733,112.5361,caraib,1938.974979,2003.454955,2078.82584,2011.65683,2077.872723,2034.805706,1896.754693,2082.371381,2033.136179,1942.969662,1984.153077,2118.98807,2126.345164,2067.195519,2133.506209,2100.474952,2111.465242,2128.648699,2112.151929,2205.314597,2131.3981,2107.497234,2202.598586,2173.022427,2231.2269,2226.131578,2236.951443,2227.380254,2159.343729,2230.43877,2311.308829,2294.748371,2305.91378,2281.295845,2122.467516,2165.230415,2275.385129,2344.406114,2289.636431,2379.399998
