Record_number,lon,lat,year,GOME2_SIF,SCIA_SIF
203,-72.18,42.53,1997,NaN,NaN
204,-72.18,42.53,1996,NaN,NaN
204,-72.18,42.53,1997,NaN,NaN
205,-72.18,42.53,1996,NaN,NaN
205,-72.18,42.53,1997,NaN,NaN
206,-72.18,42.53,1996,NaN,NaN
206,-72.18,42.53,1997,NaN,NaN
207,-68.73,45.2,1996,NaN,NaN
207,-68.73,45.2,1997,NaN,NaN
208,-68.73,45.2,1996,NaN,NaN
208,-68.73,45.2,1997,NaN,NaN
209,-68.73,45.2,1996,NaN,NaN
209,-68.73,45.2,1997,NaN,NaN
210,-68.73,45.2,1996,NaN,NaN
210,-68.73,45.2,1997,NaN,NaN
211,-68.73,45.2,1996,NaN,NaN
211,-68.73,45.2,1997,NaN,NaN
212,-72.18,42.53,1997,NaN,NaN
212,-72.18,42.53,1998,NaN,NaN
213,-72.18,42.53,1997,NaN,NaN
213,-72.18,42.53,1998,NaN,NaN
214,-72.18,42.53,1997,NaN,NaN
214,-72.18,42.53,1998,NaN,NaN
215,-72.18,42.53,1997,NaN,NaN
215,-72.18,42.53,1998,NaN,NaN
216,-72.18,42.53,1997,NaN,NaN
216,-72.18,42.53,1998,NaN,NaN
217,-68.73,45.2,1997,NaN,NaN
217,-68.73,45.2,1998,NaN,NaN
218,-68.73,45.2,1997,NaN,NaN
218,-68.73,45.2,1998,NaN,NaN
219,-68.73,45.2,1997,NaN,NaN
219,-68.73,45.2,1998,NaN,NaN
220,-68.73,45.2,1997,NaN,NaN
220,-68.73,45.2,1998,NaN,NaN
221,-68.73,45.2,1997,NaN,NaN
221,-68.73,45.2,1998,NaN,NaN
222,-72.18,42.53,1998,NaN,NaN
222,-72.18,42.53,1999,NaN,NaN
223,-72.18,42.53,1998,NaN,NaN
223,-72.18,42.53,1999,NaN,NaN
224,-72.18,42.53,1998,NaN,NaN
224,-72.18,42.53,1999,NaN,NaN
225,-72.18,42.53,1998,NaN,NaN
225,-72.18,42.53,1999,NaN,NaN
226,-72.18,42.53,1998,NaN,NaN
226,-72.18,42.53,1999,NaN,NaN
227,-68.73,45.2,1998,NaN,NaN
227,-68.73,45.2,1999,NaN,NaN
228,-68.73,45.2,1998,NaN,NaN
228,-68.73,45.2,1999,NaN,NaN
229,-68.73,45.2,1998,NaN,NaN
229,-68.73,45.2,1999,NaN,NaN
230,-68.73,45.2,1998,NaN,NaN
230,-68.73,45.2,1999,NaN,NaN
231,-68.73,45.2,1998,NaN,NaN
231,-68.73,45.2,1999,NaN,NaN
240,129.17,62.22,1996,NaN,NaN
240,129.17,62.22,1997,NaN,NaN
241,129.5,62.3,1996,NaN,NaN
241,129.5,62.3,1997,NaN,NaN
242,129.17,62.22,1996,NaN,NaN
242,129.17,62.22,1997,NaN,NaN
243,129.17,62.22,1996,NaN,NaN
243,129.17,62.22,1997,NaN,NaN
244,129.5,62.3,1996,NaN,NaN
244,129.5,62.3,1997,NaN,NaN
245,129.5,62.3,1996,NaN,NaN
245,129.5,62.3,1997,NaN,NaN
254,-90.12,45.8,2000,NaN,NaN
255,-90.12,45.8,2000,NaN,NaN
256,-90.12,45.8,2000,NaN,NaN
257,-90.12,45.8,2000,NaN,NaN
258,-90.12,45.8,2000,NaN,NaN
259,-90.12,45.8,2000,NaN,NaN
260,-90.12,45.8,2000,NaN,NaN
261,-90.12,45.8,2000,NaN,NaN
262,-90.12,45.8,1998,NaN,NaN
262,-90.12,45.8,1999,NaN,NaN
263,-90.12,45.8,1998,NaN,NaN
263,-90.12,45.8,1999,NaN,NaN
264,-90.12,45.8,1998,NaN,NaN
264,-90.12,45.8,1999,NaN,NaN
265,-90.12,45.8,1999,NaN,NaN
265,-90.12,45.8,2000,NaN,NaN
266,-90.12,45.8,1999,NaN,NaN
266,-90.12,45.8,2000,NaN,NaN
267,-90.12,45.8,1999,NaN,NaN
267,-90.12,45.8,2000,NaN,NaN
268,-90.12,45.8,2000,NaN,NaN
268,-90.12,45.8,2001,NaN,NaN
269,-90.12,45.8,2000,NaN,NaN
269,-90.12,45.8,2001,NaN,NaN
270,-90.12,45.8,2000,NaN,NaN
270,-90.12,45.8,2001,NaN,NaN
271,-90.12,45.8,2001,NaN,NaN
271,-90.12,45.8,2002,NaN,NaN
272,-90.12,45.8,2001,NaN,NaN
272,-90.12,45.8,2002,NaN,NaN
273,-90.12,45.8,2001,NaN,NaN
273,-90.12,45.8,2002,NaN,NaN
274,89.38,60.75,1998,NaN,NaN
274,89.38,60.75,1999,NaN,NaN
275,89.38,60.75,1999,NaN,NaN
275,89.38,60.75,2000,NaN,NaN
276,127.53,45.37,2004,NaN,0.88444
277,127.53,45.37,2004,NaN,0.88444
278,127.53,45.37,2004,NaN,0.88444
279,127.53,45.37,2004,NaN,0.88444
280,127.53,45.37,2004,NaN,0.88444
281,127.53,45.37,2004,NaN,0.88444
286,-20.57,74.47,2000,NaN,NaN
286,-20.57,74.47,2001,NaN,NaN
287,-97.52,34.98,1999,NaN,NaN
287,-97.52,34.98,2000,NaN,NaN
291,-97.52,34.98,2000,NaN,NaN
291,-97.52,34.98,2001,NaN,NaN
295,-97.52,34.98,2001,NaN,NaN
295,-97.52,34.98,2002,NaN,NaN
299,-97.52,34.98,2002,NaN,NaN
299,-97.52,34.98,2003,NaN,1.1429
303,-97.52,34.98,2003,NaN,1.1429
303,-97.52,34.98,2004,NaN,1.1858
307,-97.52,34.98,2004,NaN,1.1858
307,-97.52,34.98,2005,NaN,1.0991
311,-98.48,55.88,1994,NaN,NaN
312,-98.48,55.88,1994,NaN,NaN
313,-98.48,55.88,1994,NaN,NaN
329,-148.32,64.7,2002,NaN,NaN
329,-148.32,64.7,2003,NaN,0.26495
330,-148.32,64.7,2002,NaN,NaN
330,-148.32,64.7,2003,NaN,0.26495
331,-148.32,64.7,2002,NaN,NaN
331,-148.32,64.7,2003,NaN,0.26495
332,-122.17,44.25,2000,NaN,NaN
332,-122.17,44.25,2001,NaN,NaN
333,-122.17,44.25,2001,NaN,NaN
333,-122.17,44.25,2002,NaN,NaN
334,-122.17,44.25,2002,NaN,NaN
334,-122.17,44.25,2003,NaN,0.80874
347,19.77,64.23,1999,NaN,NaN
347,19.77,64.23,2000,NaN,NaN
348,19.77,64.23,2000,NaN,NaN
348,19.77,64.23,2001,NaN,NaN
353,5.7,47.12,2002,NaN,NaN
353,5.7,47.12,2003,NaN,1.2957
354,5.7,47.12,2002,NaN,NaN
354,5.7,47.12,2003,NaN,1.2957
355,5.7,47.12,2002,NaN,NaN
355,5.7,47.12,2003,NaN,1.2957
356,5.7,47.12,2002,NaN,NaN
356,5.7,47.12,2003,NaN,1.2957
357,5.7,47.12,2002,NaN,NaN
357,5.7,47.12,2003,NaN,1.2957
358,5.7,47.12,2002,NaN,NaN
358,5.7,47.12,2003,NaN,1.2957
359,5.7,47.12,2002,NaN,NaN
359,5.7,47.12,2003,NaN,1.2957
360,5.7,47.12,2002,NaN,NaN
360,5.7,47.12,2003,NaN,1.2957
361,5.7,47.12,2002,NaN,NaN
361,5.7,47.12,2003,NaN,1.2957
362,-123.9,45.1,2001,NaN,NaN
363,-123.9,45.1,2001,NaN,NaN
364,-123.9,45.1,2001,NaN,NaN
365,-123.9,45.1,2001,NaN,NaN
366,-122.2,44.2,2001,NaN,NaN
367,-122.2,44.2,2001,NaN,NaN
368,-122.2,44.2,2001,NaN,NaN
369,-122.2,44.2,2001,NaN,NaN
370,-121.7,44.4,2001,NaN,NaN
371,-121.7,44.4,2001,NaN,NaN
372,-121.7,44.4,2001,NaN,NaN
373,-121.7,44.4,2001,NaN,NaN
374,30.97,62.77,1990,NaN,NaN
374,30.97,62.77,1991,NaN,NaN
375,30.97,62.77,1990,NaN,NaN
375,30.97,62.77,1991,NaN,NaN
376,30.97,62.77,1990,NaN,NaN
376,30.97,62.77,1991,NaN,NaN
377,24.3,61.78,1990,NaN,NaN
377,24.3,61.78,1991,NaN,NaN
379,30.97,62.77,1990,NaN,NaN
379,30.97,62.77,1991,NaN,NaN
381,24.3,61.78,1990,NaN,NaN
381,24.3,61.78,1991,NaN,NaN
383,24.3,61.78,1990,NaN,NaN
383,24.3,61.78,1991,NaN,NaN
385,24.3,61.78,1990,NaN,NaN
385,24.3,61.78,1991,NaN,NaN
387,30.97,62.77,1990,NaN,NaN
387,30.97,62.77,1991,NaN,NaN
391,30.97,62.77,1990,NaN,NaN
391,30.97,62.77,1991,NaN,NaN
392,24.3,61.78,1990,NaN,NaN
392,24.3,61.78,1991,NaN,NaN
393,24.3,61.78,1990,NaN,NaN
393,24.3,61.78,1991,NaN,NaN
394,24.3,61.78,1990,NaN,NaN
394,24.3,61.78,1991,NaN,NaN
396,30.97,62.77,1990,NaN,NaN
396,30.97,62.77,1991,NaN,NaN
397,24.3,61.78,1990,NaN,NaN
397,24.3,61.78,1991,NaN,NaN
399,30.97,62.77,1990,NaN,NaN
399,30.97,62.77,1991,NaN,NaN
400,30.97,62.77,1991,NaN,NaN
400,30.97,62.77,1992,NaN,NaN
401,30.97,62.77,1991,NaN,NaN
401,30.97,62.77,1992,NaN,NaN
402,30.97,62.77,1991,NaN,NaN
402,30.97,62.77,1992,NaN,NaN
403,24.3,61.78,1991,NaN,NaN
403,24.3,61.78,1992,NaN,NaN
405,30.97,62.77,1991,NaN,NaN
405,30.97,62.77,1992,NaN,NaN
407,24.3,61.78,1991,NaN,NaN
407,24.3,61.78,1992,NaN,NaN
409,24.3,61.78,1991,NaN,NaN
409,24.3,61.78,1992,NaN,NaN
411,24.3,61.78,1991,NaN,NaN
411,24.3,61.78,1992,NaN,NaN
413,30.97,62.77,1991,NaN,NaN
413,30.97,62.77,1992,NaN,NaN
417,30.97,62.77,1991,NaN,NaN
417,30.97,62.77,1992,NaN,NaN
418,24.3,61.78,1991,NaN,NaN
418,24.3,61.78,1992,NaN,NaN
419,24.3,61.78,1991,NaN,NaN
419,24.3,61.78,1992,NaN,NaN
420,24.3,61.78,1991,NaN,NaN
420,24.3,61.78,1992,NaN,NaN
422,29.83,62.23,1991,NaN,NaN
422,29.83,62.23,1992,NaN,NaN
423,24.3,61.78,1991,NaN,NaN
423,24.3,61.78,1992,NaN,NaN
425,30.97,62.77,1991,NaN,NaN
425,30.97,62.77,1992,NaN,NaN
426,19,78,2004,NaN,NaN
427,19,78,2004,NaN,NaN
428,19,78,2004,NaN,NaN
429,29.08,63.05,2004,NaN,0.31466
430,29.08,63.05,2004,NaN,0.31466
431,29.08,63.05,2004,NaN,0.31466
432,18.82,68.35,1999,NaN,NaN
432,18.82,68.35,2000,NaN,NaN
433,18.82,68.35,1999,NaN,NaN
433,18.82,68.35,2000,NaN,NaN
434,17.48,60.08,1995,NaN,NaN
434,17.48,60.08,1996,NaN,NaN
435,-145,64,2003,NaN,0.088739
435,-145,64,2004,NaN,0.1958
436,-145,64,2003,NaN,0.088739
436,-145,64,2004,NaN,0.1958
437,-145,64,2003,NaN,0.088739
437,-145,64,2004,NaN,0.1958
438,8.65,49.87,2000,NaN,NaN
439,163.88,-78.02,2002,NaN,NaN
439,163.88,-78.02,2003,NaN,0.18426
440,-97.33,31.1,1992,NaN,NaN
440,-97.33,31.1,1993,NaN,NaN
441,-97.33,31.1,1993,NaN,NaN
441,-97.33,31.1,1994,NaN,NaN
442,-97.33,31.1,1994,NaN,NaN
442,-97.33,31.1,1995,NaN,NaN
443,-97.33,31.1,1995,NaN,NaN
443,-97.33,31.1,1996,NaN,NaN
444,-97.33,31.1,1996,NaN,NaN
444,-97.33,31.1,1997,NaN,NaN
445,-97.33,31.1,1997,NaN,NaN
445,-97.33,31.1,1998,NaN,NaN
461,-105.12,53.99,1995,NaN,NaN
461,-105.12,53.99,1996,NaN,NaN
462,-100.92,46.77,1997,NaN,NaN
462,-100.92,46.77,1998,NaN,NaN
463,-87.4,47.05,1997,NaN,NaN
463,-87.4,47.05,1998,NaN,NaN
480,128.1,42.4,2002,NaN,NaN
480,128.1,42.4,2003,NaN,0.77712
481,-84.97,32.37,2002,NaN,NaN
481,-84.97,32.37,2003,NaN,1.5623
482,-84.97,32.37,2002,NaN,NaN
482,-84.97,32.37,2003,NaN,1.5623
489,-72.33,42.5,1988,NaN,NaN
490,-72.33,42.5,1988,NaN,NaN
495,-72.33,42.5,1989,NaN,NaN
496,-72.33,42.5,1989,NaN,NaN
501,-72.33,42.5,2000,NaN,NaN
501,-72.33,42.5,2001,NaN,NaN
502,-72.33,42.5,2000,NaN,NaN
502,-72.33,42.5,2001,NaN,NaN
527,-2.05,55.17,2000,NaN,NaN
537,-69.1,48.81,1993,NaN,NaN
538,-68.83,46.81,1993,NaN,NaN
539,-68.71,46.8,1993,NaN,NaN
540,-68.44,46.78,1993,NaN,NaN
541,-68.36,45.69,1993,NaN,NaN
542,-68.44,45.51,1993,NaN,NaN
543,-68.73,45.21,1993,NaN,NaN
544,-68.77,45.03,1993,NaN,NaN
545,-70.6,44.34,1993,NaN,NaN
546,-70.36,44.44,1993,NaN,NaN
547,-69.99,44.38,1993,NaN,NaN
548,-69.99,44.06,1993,NaN,NaN
549,-69.06,44.38,1993,NaN,NaN
550,-69.17,44.29,1993,NaN,NaN
551,-69.17,44.23,1993,NaN,NaN
552,-69.32,44.2,1993,NaN,NaN
556,-88.65,49.17,1993,NaN,NaN
556,-88.65,49.17,1994,NaN,NaN
557,-72.18,42.53,1995,NaN,NaN
558,-72.18,42.53,1995,NaN,NaN
559,-72.18,42.53,1995,NaN,NaN
560,-72.18,42.53,1995,NaN,NaN
561,-72.18,42.53,1995,NaN,NaN
562,-72.18,42.53,1995,NaN,NaN
565,-68.67,45.17,1992,NaN,NaN
565,-68.67,45.17,1993,NaN,NaN
565,-68.67,45.17,1994,NaN,NaN
565,-68.67,45.17,1995,NaN,NaN
567,-20.57,74.47,1995,NaN,NaN
567,-20.57,74.47,1996,NaN,NaN
568,-121.51,44.42,1995,NaN,NaN
568,-121.51,44.42,1996,NaN,NaN
569,-121.51,44.42,1996,NaN,NaN
569,-121.51,44.42,1997,NaN,NaN
570,6,50.3,1997,NaN,NaN
571,6,50.3,1997,NaN,NaN
574,162.88,-77.63,1994,NaN,NaN
574,162.88,-77.63,1995,NaN,NaN
574,162.88,-77.63,1996,NaN,NaN
574,162.88,-77.63,1997,NaN,NaN
576,-120.97,38.43,2004,NaN,0.72165
576,-120.97,38.43,2005,NaN,0.75284
577,112.54,23.17,2000,NaN,NaN
577,112.54,23.17,2001,NaN,NaN
578,112.54,23.17,2000,NaN,NaN
578,112.54,23.17,2001,NaN,NaN
579,112.54,23.17,2000,NaN,NaN
579,112.54,23.17,2001,NaN,NaN
584,-70.12,-2.59,1996,NaN,NaN
584,-70.12,-2.59,1997,NaN,NaN
585,-67.87,-9.95,1999,NaN,NaN
586,-67.87,-9.95,1999,NaN,NaN
588,-67.07,-9.88,1999,NaN,NaN
589,-67.07,-9.88,1999,NaN,NaN
590,-67.07,-9.88,1999,NaN,NaN
591,-67.08,-9.88,1999,NaN,NaN
594,-67.13,-9.95,1999,NaN,NaN
596,-67.66,-9.77,1999,NaN,NaN
597,-67.66,-9.77,1999,NaN,NaN
599,-67.78,-9.84,1999,NaN,NaN
600,-67.78,-9.84,1999,NaN,NaN
608,13.63,41.87,1995,NaN,NaN
608,13.63,41.87,1996,NaN,NaN
608,13.63,41.87,1997,NaN,NaN
609,0.08,44.08,1995,NaN,NaN
609,0.08,44.08,1996,NaN,NaN
609,0.08,44.08,1997,NaN,NaN
611,9.58,51.77,1997,NaN,NaN
611,9.58,51.77,1998,NaN,NaN
612,9.57,51.77,1997,NaN,NaN
612,9.57,51.77,1998,NaN,NaN
613,9.67,51.57,1997,NaN,NaN
613,9.67,51.57,1998,NaN,NaN
614,10.3,52.83,1997,NaN,NaN
614,10.3,52.83,1998,NaN,NaN
615,10.28,52.83,1997,NaN,NaN
615,10.28,52.83,1998,NaN,NaN
616,10.27,52.83,1997,NaN,NaN
616,10.27,52.83,1998,NaN,NaN
617,9.58,51.77,1998,NaN,NaN
617,9.58,51.77,1999,NaN,NaN
618,9.57,51.77,1998,NaN,NaN
618,9.57,51.77,1999,NaN,NaN
619,9.67,51.57,1998,NaN,NaN
619,9.67,51.57,1999,NaN,NaN
620,10.3,52.83,1998,NaN,NaN
620,10.3,52.83,1999,NaN,NaN
621,10.28,52.83,1998,NaN,NaN
621,10.28,52.83,1999,NaN,NaN
622,10.27,52.83,1998,NaN,NaN
622,10.27,52.83,1999,NaN,NaN
623,-89.43,43.03,2001,NaN,NaN
623,-89.43,43.03,2002,NaN,NaN
624,-89.43,43.03,2001,NaN,NaN
624,-89.43,43.03,2002,NaN,NaN
625,-89.43,43.03,2002,NaN,NaN
625,-89.43,43.03,2003,NaN,1.0486
626,-89.43,43.03,2002,NaN,NaN
626,-89.43,43.03,2003,NaN,1.0486
627,-89.43,43.03,2003,NaN,1.0486
627,-89.43,43.03,2004,NaN,1.178
628,-89.43,43.03,2003,NaN,1.0486
628,-89.43,43.03,2004,NaN,1.178
630,132.92,34.5,1998,NaN,NaN
630,132.92,34.5,1999,NaN,NaN
631,132.92,34.5,1998,NaN,NaN
631,132.92,34.5,1999,NaN,NaN
636,170.3,-43.2,2000,NaN,NaN
636,170.3,-43.2,2001,NaN,NaN
641,11.65,55.49,1997,NaN,NaN
641,11.65,55.49,1998,NaN,NaN
642,11.65,55.49,1997,NaN,NaN
642,11.65,55.49,1998,NaN,NaN
643,128.1,38.03,1999,NaN,NaN
643,128.1,38.03,2000,NaN,NaN
644,128.1,38.03,1999,NaN,NaN
644,128.1,38.03,2000,NaN,NaN
645,128.1,38.03,1999,NaN,NaN
645,128.1,38.03,2000,NaN,NaN
646,128.1,38.03,1999,NaN,NaN
646,128.1,38.03,2000,NaN,NaN
647,126.98,37.55,1999,NaN,NaN
647,126.98,37.55,2000,NaN,NaN
648,127.17,37.75,1999,NaN,NaN
648,127.17,37.75,2000,NaN,NaN
659,-110.5,44.57,1999,NaN,NaN
659,-110.5,44.57,2000,NaN,NaN
